id,commtime,cso9ft2,efact9,jobconst,manconst,childlt6,c3h17m,female,jobhome,age,commtime_m,commtime_f,cso9ft2_f,cso9ft2_m,efact9_f,efact9_m,jobconst_f,jobconst_m,manconst_f,manconst_m,childlt6_f,childlt6_m,c3h17m_f,c3h17m_m,female_f,female_m,jobhome_f,jobhome_m,age_f,age_m
518,50,-1.01736,1.38469,0,0,0,1,1,1,1,50,0,-1.01736,0,1.38469,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
542,70,2.27516,-0.74762,1,1,1,0,1,0,0,70,0,2.27516,0,-0.74762,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
544,47.5,-0.91577,0.15725,0,0,1,1,0,1,0,0,47.5,0,-0.91577,0,0.15725,0,0,0,0,0,1,0,1,0,0,0,1,0,0
560,55,0.96482,-0.43646,1,1,0,0,0,0,1,0,55,0,0.96482,0,-0.43646,0,1,0,1,0,0,0,0,0,0,0,0,0,1
562,35,0.01806,-0.09681,0,0,0,1,0,1,1,0,35,0,0.01806,0,-0.09681,0,0,0,0,0,0,0,1,0,0,0,1,0,1
567,30,1.67671,-0.97981,0,0,0,0,0,1,0,0,30,0,1.67671,0,-0.97981,0,0,0,0,0,0,0,0,0,0,0,1,0,0
582,62.5,0.16977,0.15322,0,0,0,1,0,1,0,0,62.5,0,0.16977,0,0.15322,0,0,0,0,0,0,0,1,0,0,0,1,0,0
585,85,-0.31336,0.58551,1,0,0,1,1,1,0,85,0,-0.31336,0,0.58551,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
592,70,-0.27942,0.69803,1,1,0,0,1,0,1,70,0,-0.27942,0,0.69803,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
611,45,2.04158,-0.52596,1,1,0,0,0,0,0,0,45,0,2.04158,0,-0.52596,0,1,0,1,0,0,0,0,0,0,0,0,0,0
617,20,-0.48971,-0.03245,0,0,0,0,0,1,1,0,20,0,-0.48971,0,-0.03245,0,0,0,0,0,0,0,0,0,0,0,1,0,1
618,50,0.9816,-0.39925,1,0,1,0,1,1,0,50,0,0.9816,0,-0.39925,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
634,30,2.15472,-0.60733,0,0,1,0,0,1,0,0,30,0,2.15472,0,-0.60733,0,0,0,0,0,1,0,0,0,0,0,1,0,0
638,80,-0.51022,-0.19416,0,0,0,0,0,1,1,0,80,0,-0.51022,0,-0.19416,0,0,0,0,0,0,0,0,0,0,0,1,0,1
646,90,0.86029,0.95363,0,0,0,1,1,1,0,90,0,0.86029,0,0.95363,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
652,40,1.15213,-0.16146,0,0,0,1,1,1,0,40,0,1.15213,0,-0.16146,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
654,60,1.24747,-0.01669,0,0,0,0,0,1,0,0,60,0,1.24747,0,-0.01669,0,0,0,0,0,0,0,0,0,0,0,1,0,0
662,75,0.21058,0.60465,0,0,1,1,0,1,0,0,75,0,0.21058,0,0.60465,0,0,0,0,0,1,0,1,0,0,0,1,0,0
672,55,0.25644,-1.40812,1,0,0,0,0,1,1,0,55,0,0.25644,0,-1.40812,0,1,0,0,0,0,0,0,0,0,0,1,0,1
693,80,-0.32569,-0.7638,0,0,1,1,0,1,0,0,80,0,-0.32569,0,-0.7638,0,0,0,0,0,1,0,1,0,0,0,1,0,0
694,30,0.47008,-0.65611,0,1,0,0,0,1,0,0,30,0,0.47008,0,-0.65611,0,0,0,1,0,0,0,0,0,0,0,1,0,0
697,38,-0.67355,0.83242,0,0,1,1,0,1,0,0,38,0,-0.67355,0,0.83242,0,0,0,0,0,1,0,1,0,0,0,1,0,0
